Sipariş_Kodu,Blok_ID,Blok_Tipi,Tedarikçi_Firma,Teslimat_Yeri,Ağırlık_Ton,İstasyon,Uygulayıcı_Ekip,Planlanan_Adam_Saat,Gerçekleşen_Adam_Saat,Planlanan_Maliyet_USD,Gerçekleşen_Maliyet_USD,NDT_Sonucu,Planlanan_Başlangıç,Planlanan_Bitiş,Gerçekleşen_Başlangıç,Gerçekleşen_Bitiş,Gecikme_Süresi_Gün,Gecikme_Nedeni,Durum,Tamamlanma_Yüzdesi
NB-501 (Kimyasal Tanker),BLK-002,Üst Bina,SSAB,Kuru Havuz A,117,Boyama,Taşeron - Alfa,209,209,120042,120042,Muaf,2026-03-04,2026-03-23,2026-03-04,2026-03-23,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-002,Üst Bina,SSAB,Kuru Havuz A,117,Donatım,Taşeron - Omega,99,99,101673,101673,Muaf,2026-03-25,2026-04-05,2026-03-25,2026-04-05,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-003,Çift Dip (Double Bottom),ThyssenKrupp,Kızak 2,33,Kesim,Dahili Ekip,147,147,18018,18018,Muaf,2025-12-13,2025-12-20,2025-12-13,2025-12-20,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-003,Çift Dip (Double Bottom),ThyssenKrupp,Kızak 2,33,Ön Montaj,Taşeron - Omega,264,381,26136,31590,Geçti,2025-12-22,2026-01-02,2025-12-22,2026-01-11,9,İşgücü Yetersizliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-003,Çift Dip (Double Bottom),ThyssenKrupp,Kızak 2,33,Montaj,Dahili Ekip,253,253,25410,25410,Geçti,2026-01-12,2026-01-23,2026-01-12,2026-01-23,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-003,Çift Dip (Double Bottom),ThyssenKrupp,Kızak 2,33,Kaynak,Taşeron - Beta,240,318,21780,30558,Kaldı - Yeniden İşlem,2026-01-25,2026-02-04,2026-01-25,2026-02-10,6,Kalite Reddi (NDT),Tamamlandı,100
NB-503 (Kuru Yük),BLK-003,Çift Dip (Double Bottom),ThyssenKrupp,Kızak 2,33,Boyama,Taşeron - Beta,418,550,42009,58845,Muaf,2026-02-12,2026-03-03,2026-02-12,2026-03-15,12,Malzeme Eksikliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-003,Çift Dip (Double Bottom),ThyssenKrupp,Kızak 2,33,Donatım,Taşeron - Beta,96,96,20988,20988,Muaf,2026-03-16,2026-03-28,2026-03-16,2026-03-28,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-004,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kızak 2,31,Kesim,Dahili Ekip,77,104,14105,16769,Geçti,2025-10-31,2025-11-07,2025-10-31,2025-11-10,3,Ekipman/Vinç Arızası,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-004,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kızak 2,31,Ön Montaj,Taşeron - Beta,162,162,44082,44082,Geçti,2025-11-11,2025-11-29,2025-11-11,2025-11-29,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-004,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kızak 2,31,Montaj,Taşeron - Beta,289,341,27404,29620,Geçti,2025-12-01,2025-12-18,2025-12-01,2025-12-22,4,İşgücü Yetersizliği,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-004,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kızak 2,31,Kaynak,Taşeron - Omega,77,147,17360,22620,Kaldı - Yeniden İşlem,2025-12-24,2025-12-31,2025-12-24,2026-01-05,5,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-004,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kızak 2,31,Boyama,Taşeron - Alfa,198,198,43524,43524,Muaf,2026-01-06,2026-01-24,2026-01-06,2026-01-24,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-004,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kızak 2,31,Donatım,Taşeron - Beta,180,180,15810,15810,Muaf,2026-01-25,2026-02-04,2026-01-25,2026-02-04,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-005,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,138,Kesim,Taşeron - Alfa,60,160,30912,39372,Geçti,2025-10-27,2025-10-31,2025-10-27,2025-11-10,10,Kalite Reddi (NDT),Tamamlandı,100
NB-502 (Römorkör),BLK-005,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,138,Ön Montaj,Taşeron - Omega,437,437,146832,146832,Geçti,2025-11-11,2025-11-30,2025-11-11,2025-11-30,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-005,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,138,Montaj,Taşeron - Alfa,437,580,157320,163909,Geçti,2025-12-02,2025-12-21,2025-12-02,2026-01-01,11,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-005,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,138,Kaynak,Taşeron - Beta,242,242,88044,88044,Geçti,2026-01-03,2026-01-14,2026-01-03,2026-01-14,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-005,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,138,Boyama,Taşeron - Alfa,240,240,144900,144900,Muaf,2026-01-16,2026-01-31,2026-01-16,2026-01-31,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-005,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,138,Donatım,Taşeron - Alfa,285,285,186162,186162,Muaf,2026-02-01,2026-02-20,2026-02-01,2026-02-20,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-006,Tank,SSAB,Açık Saha Donatım,172,Kesim,Dahili Ekip,32,32,37840,37840,Muaf,2025-11-22,2025-11-26,2025-11-22,2025-11-26,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-006,Tank,SSAB,Açık Saha Donatım,172,Ön Montaj,Dahili Ekip,286,406,169936,180632,Geçti,2025-11-28,2025-12-11,2025-11-28,2025-12-19,8,Hava Muhalefeti,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-006,Tank,SSAB,Açık Saha Donatım,172,Montaj,Dahili Ekip,210,210,183008,183008,Geçti,2025-12-21,2026-01-04,2025-12-21,2026-01-04,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-006,Tank,SSAB,Açık Saha Donatım,172,Kaynak,Taşeron - Omega,63,63,92708,92708,Geçti,2026-01-05,2026-01-12,2026-01-05,2026-01-12,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-006,Tank,SSAB,Açık Saha Donatım,172,Boyama,Taşeron - Beta,168,258,113520,119472,Muaf,2026-01-14,2026-01-26,2026-01-14,2026-02-01,6,İşgücü Yetersizliği,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-006,Tank,SSAB,Açık Saha Donatım,172,Donatım,Taşeron - Omega,187,187,198832,198832,Muaf,2026-02-02,2026-02-19,2026-02-02,2026-02-19,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-007,Tank,SSAB,Açık Saha Donatım,35,Kesim,Dahili Ekip,84,84,12250,12250,Muaf,2025-12-04,2025-12-11,2025-12-04,2025-12-11,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-007,Tank,SSAB,Açık Saha Donatım,35,Ön Montaj,Taşeron - Omega,187,187,47005,47005,Geçti,2025-12-12,2025-12-29,2025-12-12,2025-12-29,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-007,Tank,SSAB,Açık Saha Donatım,35,Montaj,Dahili Ekip,304,304,40565,40565,Geçti,2025-12-31,2026-01-19,2025-12-31,2026-01-19,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-007,Tank,SSAB,Açık Saha Donatım,35,Kaynak,Taşeron - Alfa,99,127,22050,23238,Kaldı - Yeniden İşlem,2026-01-20,2026-01-29,2026-01-20,2026-01-31,2,Kalite Reddi (NDT),Tamamlandı,100
NB-503 (Kuru Yük),BLK-007,Tank,SSAB,Açık Saha Donatım,35,Boyama,Taşeron - Alfa,380,380,47215,47215,Muaf,2026-02-02,2026-02-21,2026-02-02,2026-02-21,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-007,Tank,SSAB,Açık Saha Donatım,35,Donatım,Taşeron - Beta,288,288,34650,34650,Muaf,2026-02-22,2026-03-12,2026-02-22,2026-03-12,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-008,Gövde,Yerel Tedarikçi A.Ş.,Kızak 1,98,Kesim,Taşeron - Beta,63,153,20580,26367,Geçti,2025-10-12,2025-10-15,2025-10-12,2025-10-24,9,İşgücü Yetersizliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-008,Gövde,Yerel Tedarikçi A.Ş.,Kızak 1,98,Ön Montaj,Taşeron - Beta,200,290,49980,55596,Geçti,2025-10-26,2025-11-05,2025-10-26,2025-11-11,6,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-008,Gövde,Yerel Tedarikçi A.Ş.,Kızak 1,98,Montaj,Dahili Ekip,399,471,134064,145548,Geçti,2025-11-13,2025-12-02,2025-11-13,2025-12-11,9,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-008,Gövde,Yerel Tedarikçi A.Ş.,Kızak 1,98,Kaynak,Taşeron - Omega,154,154,76832,76832,Geçti,2025-12-12,2025-12-26,2025-12-12,2025-12-26,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-008,Gövde,Yerel Tedarikçi A.Ş.,Kızak 1,98,Boyama,Dahili Ekip,255,255,128282,128282,Muaf,2025-12-28,2026-01-14,2025-12-28,2026-01-14,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-008,Gövde,Yerel Tedarikçi A.Ş.,Kızak 1,98,Donatım,Taşeron - Alfa,152,152,134064,134064,Muaf,2026-01-16,2026-02-04,2026-01-16,2026-02-04,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-009,Çift Dip (Double Bottom),Kardemir,Kızak 2,141,Kesim,Dahili Ekip,95,191,41595,53475,Geçti,2025-12-10,2025-12-15,2025-12-10,2025-12-27,12,İşgücü Yetersizliği,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-009,Çift Dip (Double Bottom),Kardemir,Kızak 2,141,Ön Montaj,Dahili Ekip,108,108,113364,113364,Geçti,2025-12-29,2026-01-10,2025-12-29,2026-01-10,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-009,Çift Dip (Double Bottom),Kardemir,Kızak 2,141,Montaj,Dahili Ekip,210,210,142128,142128,Geçti,2026-01-11,2026-01-25,2026-01-11,2026-01-25,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-009,Çift Dip (Double Bottom),Kardemir,Kızak 2,141,Kaynak,Taşeron - Beta,264,264,83754,83754,Geçti,2026-01-27,2026-02-07,2026-01-27,2026-02-07,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-009,Çift Dip (Double Bottom),Kardemir,Kızak 2,141,Boyama,Taşeron - Alfa,315,315,112095,112095,Muaf,2026-02-08,2026-02-23,2026-02-08,2026-02-23,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-009,Çift Dip (Double Bottom),Kardemir,Kızak 2,141,Donatım,Taşeron - Alfa,170,268,73320,78213,Kaldı - Yeniden İşlem,2026-02-24,2026-03-06,2026-02-24,2026-03-13,7,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-010,Gövde,Kardemir,Kızak 1,116,Kesim,Taşeron - Beta,126,126,42456,42456,Muaf,2025-11-28,2025-12-04,2025-11-28,2025-12-04,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-010,Gövde,Kardemir,Kızak 1,116,Ön Montaj,Taşeron - Beta,209,209,174116,174116,Geçti,2025-12-05,2025-12-24,2025-12-05,2025-12-24,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-010,Gövde,Kardemir,Kızak 1,116,Montaj,Dahili Ekip,220,300,89320,94800,Geçti,2025-12-26,2026-01-05,2025-12-26,2026-01-10,5,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-010,Gövde,Kardemir,Kızak 1,116,Kaynak,Taşeron - Omega,132,132,90480,90480,Geçti,2026-01-12,2026-01-24,2026-01-12,2026-01-24,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-010,Gövde,Kardemir,Kızak 1,116,Boyama,Dahili Ekip,300,300,132240,132240,Muaf,2026-01-26,2026-02-10,2026-01-26,2026-02-10,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-010,Gövde,Kardemir,Kızak 1,116,Donatım,Taşeron - Omega,340,340,155440,155440,Muaf,2026-02-11,2026-03-03,2026-02-11,2026-03-03,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-011,Gövde,Kardemir,Kızak 2,122,Kesim,Taşeron - Omega,120,168,53436,56661,Geçti,2025-12-14,2025-12-20,2025-12-14,2025-12-23,3,Hava Muhalefeti,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-011,Gövde,Kardemir,Kızak 2,122,Ön Montaj,Taşeron - Omega,195,240,106262,108518,Geçti,2025-12-25,2026-01-07,2025-12-25,2026-01-10,3,Kalite Reddi (NDT),Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-011,Gövde,Kardemir,Kızak 2,122,Montaj,Taşeron - Beta,323,362,136884,139224,Geçti,2026-01-12,2026-01-29,2026-01-12,2026-02-01,3,İşgücü Yetersizliği,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-011,Gövde,Kardemir,Kızak 2,122,Kaynak,Taşeron - Beta,252,252,114436,114436,Geçti,2026-02-03,2026-02-17,2026-02-03,2026-02-17,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-011,Gövde,Kardemir,Kızak 2,122,Boyama,Taşeron - Beta,180,210,161040,163112,Muaf,2026-02-18,2026-03-10,2026-02-18,2026-03-12,2,Hava Muhalefeti,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-011,Gövde,Kardemir,Kızak 2,122,Donatım,Taşeron - Omega,140,140,116144,116144,Muaf,2026-03-14,2026-03-28,2026-03-14,2026-03-28,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-012,Makine Dairesi,ThyssenKrupp,Açık Saha Donatım,61,Kesim,Dahili Ekip,57,57,14457,14457,Muaf,2025-10-28,2025-10-31,2025-10-28,2025-10-31,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-012,Makine Dairesi,ThyssenKrupp,Açık Saha Donatım,61,Ön Montaj,Taşeron - Alfa,195,338,46665,54574,Geçti,2025-11-02,2025-11-17,2025-11-02,2025-11-28,11,Ekipman/Vinç Arızası,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-012,Makine Dairesi,ThyssenKrupp,Açık Saha Donatım,61,Montaj,Dahili Ekip,340,340,77775,77775,Geçti,2025-11-29,2025-12-16,2025-11-29,2025-12-16,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-012,Makine Dairesi,ThyssenKrupp,Açık Saha Donatım,61,Kaynak,Dahili Ekip,126,126,31293,31293,Geçti,2025-12-18,2025-12-27,2025-12-18,2025-12-27,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-012,Makine Dairesi,ThyssenKrupp,Açık Saha Donatım,61,Boyama,Taşeron - Beta,460,460,87840,87840,Muaf,2025-12-29,2026-01-18,2025-12-29,2026-01-18,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-012,Makine Dairesi,ThyssenKrupp,Açık Saha Donatım,61,Donatım,Taşeron - Alfa,360,360,81740,81740,Muaf,2026-01-19,2026-02-08,2026-01-19,2026-02-08,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-013,Tank,SSAB,Kızak 1,28,Kesim,Taşeron - Omega,112,112,13132,13132,Muaf,2025-12-18,2025-12-25,2025-12-18,2025-12-25,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-013,Tank,SSAB,Kızak 1,28,Ön Montaj,Taşeron - Beta,288,368,25872,32416,Geçti,2025-12-27,2026-01-08,2025-12-27,2026-01-16,8,İşgücü Yetersizliği,Tamamlandı,100
NB-502 (Römorkör),BLK-013,Tank,SSAB,Kızak 1,28,Montaj,Taşeron - Alfa,256,336,32704,36249,Geçti,2026-01-17,2026-02-02,2026-01-17,2026-02-07,5,İşgücü Yetersizliği,Tamamlandı,100
NB-502 (Römorkör),BLK-013,Tank,SSAB,Kızak 1,28,Kaynak,Taşeron - Alfa,140,170,14308,16234,Kaldı - Yeniden İşlem,2026-02-08,2026-02-15,2026-02-08,2026-02-17,2,Kalite Reddi (NDT),Tamamlandı,100
NB-502 (Römorkör),BLK-013,Tank,SSAB,Kızak 1,28,Boyama,Dahili Ekip,306,306,35700,35700,Muaf,2026-02-19,2026-03-08,2026-02-19,2026-03-08,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-013,Tank,SSAB,Kızak 1,28,Donatım,Taşeron - Omega,196,196,31360,31360,Muaf,2026-03-10,2026-03-24,2026-03-10,2026-03-24,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-014,Makine Dairesi,SSAB,Kuru Havuz A,152,Kesim,Taşeron - Omega,84,134,71288,77273,Geçti,2025-12-13,2025-12-20,2025-12-13,2025-12-25,5,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-014,Makine Dairesi,SSAB,Kuru Havuz A,152,Ön Montaj,Taşeron - Omega,280,304,167200,171310,Geçti,2025-12-27,2026-01-16,2025-12-27,2026-01-19,3,Hava Muhalefeti,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-014,Makine Dairesi,SSAB,Kuru Havuz A,152,Montaj,Taşeron - Alfa,154,217,127680,135989,Geçti,2026-01-21,2026-02-04,2026-01-21,2026-02-11,7,Malzeme Eksikliği,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-014,Makine Dairesi,SSAB,Kuru Havuz A,152,Kaynak,Taşeron - Omega,286,382,138320,141356,Kaldı - Yeniden İşlem,2026-02-12,2026-02-25,2026-02-12,2026-03-03,6,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-014,Makine Dairesi,SSAB,Kuru Havuz A,152,Boyama,Taşeron - Alfa,132,132,129504,129504,Muaf,2026-03-05,2026-03-17,2026-03-05,2026-03-17,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-014,Makine Dairesi,SSAB,Kuru Havuz A,152,Donatım,Taşeron - Omega,228,349,228152,241044,Geçti,2026-03-19,2026-04-07,2026-03-19,2026-04-18,11,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-015,Makine Dairesi,Yerel Tedarikçi A.Ş.,Kuru Havuz A,147,Kesim,Taşeron - Alfa,60,60,25578,25578,Muaf,2025-10-12,2025-10-15,2025-10-12,2025-10-15,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-015,Makine Dairesi,Yerel Tedarikçi A.Ş.,Kuru Havuz A,147,Ön Montaj,Taşeron - Alfa,165,165,113190,113190,Geçti,2025-10-16,2025-10-27,2025-10-16,2025-10-27,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-015,Makine Dairesi,Yerel Tedarikçi A.Ş.,Kuru Havuz A,147,Montaj,Taşeron - Omega,260,280,139503,141891,Geçti,2025-10-29,2025-11-11,2025-10-29,2025-11-13,2,Ekipman/Vinç Arızası,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-015,Makine Dairesi,Yerel Tedarikçi A.Ş.,Kuru Havuz A,147,Kaynak,Taşeron - Alfa,253,253,101871,101871,Geçti,2025-11-15,2025-11-26,2025-11-15,2025-11-26,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-015,Makine Dairesi,Yerel Tedarikçi A.Ş.,Kuru Havuz A,147,Boyama,Taşeron - Omega,285,285,130095,130095,Muaf,2025-11-27,2025-12-12,2025-11-27,2025-12-12,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-015,Makine Dairesi,Yerel Tedarikçi A.Ş.,Kuru Havuz A,147,Donatım,Taşeron - Alfa,176,176,80850,80850,Muaf,2025-12-14,2025-12-25,2025-12-14,2025-12-25,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-016,Çift Dip (Double Bottom),Erdemir,Kuru Havuz A,46,Kesim,Taşeron - Omega,63,63,24472,24472,Muaf,2025-10-11,2025-10-18,2025-10-11,2025-10-18,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-016,Çift Dip (Double Bottom),Erdemir,Kuru Havuz A,46,Ön Montaj,Taşeron - Omega,182,182,31096,31096,Geçti,2025-10-19,2025-11-01,2025-10-19,2025-11-01,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-016,Çift Dip (Double Bottom),Erdemir,Kuru Havuz A,46,Montaj,Taşeron - Beta,171,270,62054,67229,Geçti,2025-11-03,2025-11-22,2025-11-03,2025-12-01,9,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-016,Çift Dip (Double Bottom),Erdemir,Kuru Havuz A,46,Kaynak,Taşeron - Alfa,144,168,35328,37400,Kaldı - Yeniden İşlem,2025-12-02,2025-12-14,2025-12-02,2025-12-16,2,Kalite Reddi (NDT),Tamamlandı,100
NB-503 (Kuru Yük),BLK-016,Çift Dip (Double Bottom),Erdemir,Kuru Havuz A,46,Boyama,Taşeron - Beta,225,225,44160,44160,Muaf,2025-12-18,2026-01-02,2025-12-18,2026-01-02,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-016,Çift Dip (Double Bottom),Erdemir,Kuru Havuz A,46,Donatım,Taşeron - Beta,140,140,34040,34040,Muaf,2026-01-04,2026-01-14,2026-01-04,2026-01-14,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-017,Gövde,Erdemir,Kuru Havuz B,53,Kesim,Dahili Ekip,30,30,8586,8586,Muaf,2025-11-03,2025-11-06,2025-11-03,2025-11-06,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-017,Gövde,Erdemir,Kuru Havuz B,53,Ön Montaj,Dahili Ekip,247,247,51357,51357,Geçti,2025-11-07,2025-11-26,2025-11-07,2025-11-26,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-017,Gövde,Erdemir,Kuru Havuz B,53,Montaj,Taşeron - Alfa,130,130,50986,50986,Geçti,2025-11-27,2025-12-10,2025-11-27,2025-12-10,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-017,Gövde,Erdemir,Kuru Havuz B,53,Kaynak,Taşeron - Beta,133,273,20034,33524,Geçti,2025-12-11,2025-12-18,2025-12-11,2025-12-28,10,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-017,Gövde,Erdemir,Kuru Havuz B,53,Boyama,Taşeron - Beta,230,230,28090,28090,Muaf,2025-12-29,2026-01-08,2025-12-29,2026-01-08,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-017,Gövde,Erdemir,Kuru Havuz B,53,Donatım,Taşeron - Beta,285,285,68476,68476,Muaf,2026-01-09,2026-01-28,2026-01-09,2026-01-28,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-018,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,92,Kesim,Taşeron - Alfa,30,30,14904,14904,Muaf,2026-01-06,2026-01-09,2026-01-06,2026-01-09,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-018,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,92,Ön Montaj,Taşeron - Alfa,196,229,65688,67749,Geçti,2026-01-10,2026-01-24,2026-01-10,2026-01-27,3,İşgücü Yetersizliği,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-018,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,92,Montaj,Dahili Ekip,152,180,125856,127392,Geçti,2026-01-28,2026-02-16,2026-01-28,2026-02-18,2,Malzeme Eksikliği,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-018,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,92,Kaynak,Taşeron - Beta,154,154,73876,73876,Geçti,2026-02-20,2026-03-03,2026-02-20,2026-03-03,0,Yok,Tamamlandı,100
